coid,year,ROA,EPS,ROE,OM,GM,FCF,total_assets,LEV
1101,2025,-1.28,-1.6,-3.95,6.73,18.4,-26.24916039096481,588835474,50.29
1102,2025,3.48,3.0,5.0,11.34,15.16,-58.78789096767735,324040459,37.22
1103,2025,2.23,0.84,2.81,-2.66,16.16,35.42941521469463,32617313,42.6
1104,2025,6.08,2.56,7.29,15.38,23.22,47.88042667060952,31083798,19.64
1108,2025,8.92,2.18,16.1,24.97,19.13,-1.2979199151232537,10162376,43.36
1109,2025,3.38,1.03,3.73,9.55,15.99,11.367945178553878,11441138,10.13
1110,2025,1.99,0.36,2.38,8.48,15.03,4.455585837209401,13061489,26.16
1201,2025,1.65,0.4,2.65,1.68,27.15,2.2036596651167946,17619437,56.46
1203,2025,6.85,1.81,9.42,16.54,34.73,-9.314774347659045,10486198,29.2
1210,2025,6.49,4.33,12.25,4.7,14.68,-5.64969198876196,76152381,53.42
1213,2025,-6.02,-0.85,-7.05,-16.18,-2.49,2.208809736331307,782379,16.63
1215,2025,10.74,10.39,25.62,13.2,21.24,4.9330593477780456,31864770,59.56
1216,2025,4.85,3.45,14.86,5.18,33.08,5.599157458054053,737441270,71.43
1217,2025,2.18,0.42,2.59,1.47,27.65,10.791358300370039,15594825,44.93
1218,2025,5.37,1.59,6.03,4.15,17.59,1.0117791849855058,14521956,10.65
1219,2025,0.7,0.45,-0.01,0.02,8.53,0.6792072595311993,9645550,52.34
1220,2025,1.42,0.08,1.65,1.01,10.51,-0.00866841262944378,3531071,27.44
1225,2025,5.86,1.62,11.2,4.37,9.7,8.376012592495368,8185966,45.9
1227,2025,4.59,1.33,6.56,4.72,24.61,5.515405919740568,27683862,31.89
1229,2025,6.11,2.57,7.32,15.07,25.08,41.73226038062895,96348820,18.49
1231,2025,8.11,3.81,16.47,8.86,20.44,9.232360634585584,14972468,51.45
1232,2025,14.74,8.25,23.06,7.85,13.44,0.18015945353570195,9976806,38.63
1233,2025,3.21,0.75,4.81,3.27,59.76,3.542860607184505,2200692,38.32
1234,2025,3.49,2.0,4.27,4.38,29.08,-0.5721441165489859,23927259,21.22
1235,2025,-1.13,-0.03,-2.72,2.77,27.46,-521.9889876868797,5561118,43.16
1236,2025,-0.63,-0.43,-1.45,-2.35,25.34,15.44444903752084,3535138,28.63
1240,2025,9.82,4.86,13.65,4.83,14.25,3.5133858267716533,2222652,29.65
1256,2025,8.6,11.19,10.36,11.93,27.72,-37.954064420932305,4899587,19.23
1259,2025,1.41,2.45,2.98,-0.22,22.53,11.044450986164263,6866615,56.03
1264,2025,15.32,20.47,20.07,16.77,32.21,-3.5833245915914596,5929286,24.04
1268,2025,6.74,10.12,18.69,8.57,45.76,14.165562539560671,7079456,67.46
1294,2025,12.38,4.6,16.83,22.22,37.11,2.2276081168967887,1166328,28.65
1295,2025,6.86,5.29,14.61,19.09,53.45,-0.637862685560054,3085253,56.89
1301,2025,-1.42,-1.58,-3.08,-4.28,3.19,-167.27025705071836,557502008,34.85
1303,2025,1.38,0.57,1.38,1.42,8.31,-18.064499176031365,610598465,39.11
1304,2025,-9.07,-2.6,-16.38,-6.0,3.05,-37.60344383740157,63255865,43.95
1305,2025,-5.04,-1.58,-11.19,-13.66,-3.79,-74.1429018160185,17427129,52.73
1307,2025,6.88,2.85,11.12,14.26,31.64,-5.160182401294552,17414210,42.15
1308,2025,-8.14,-1.76,-9.62,0.05,4.34,-22.068362161595605,11706409,12.56
1309,2025,-4.28,-1.07,-7.09,-2.92,4.09,-9.997266573515388,8568933,32.85
1310,2025,-7.03,-1.37,-9.62,-8.33,-6.25,-3.3686233957824663,9961760,24.43
1312,2025,-6.13,-3.97,-13.26,-17.88,-6.92,-0.13200712315225502,66521041,51.62
1313,2025,-2.15,-1.17,-5.28,-2.47,2.02,-4.414473255191858,53509915,45.0
1314,2025,-1.61,-0.78,-3.52,-18.56,-9.57,77.61030177471018,129340251,40.99
1315,2025,1.45,1.55,1.54,-1.14,14.52,-121.3355875210862,10812982,6.05
1316,2025,4.04,-0.52,6.81,7.33,38.97,98.36365795694455,24819796,45.72
1319,2025,10.2,6.43,13.73,18.34,33.58,-0.5784382060870699,38592116,25.67
1321,2025,-2.24,-1.25,-4.69,-3.7,7.21,-6.802043206877044,11382310,49.99
1323,2025,1.02,0.26,0.9,-0.15,13.32,-63.56087181787091,4694462,45.39
1324,2025,-5.41,-0.82,-6.59,-8.81,13.7,-2.596580810943166,1082269,17.53
1325,2025,-2.24,-0.7,-2.32,-32.47,-17.83,-18.213446018936263,2760819,3.45
1326,2025,-0.65,-0.99,-1.68,-1.41,3.25,-94.6744302613611,538941986,29.29
1336,2025,2.18,0.71,2.89,4.38,15.35,-6.156355647930123,3142373,40.83
1337,2025,-6.75,-1.74,-11.97,-60.46,-18.56,-6.465012907739072,6334625,42.09
1338,2025,-0.46,-2.24,-2.63,-0.83,23.51,-4.768157552508596,13649999,54.51
1339,2025,3.49,2.41,4.11,16.36,34.64,17.054367897153746,5004544,17.96
1340,2025,-11.43,-2.61,-12.86,-334.1,-86.06,-3371.771771771772,2941187,11.35
1341,2025,9.03,3.71,14.32,10.96,22.75,-2.726068465453531,2239367,42.34
