coid,year,K_avg
1101,2020,55.36832835872668
1101,2021,49.845084383750475
1101,2022,47.8841224680719
1101,2023,47.860295275903
1101,2024,45.24935238465062
1101,2025,41.14541517288398
1102,2020,51.62436647669789
1102,2021,50.99472126692337
1102,2022,58.95690854251695
1102,2023,56.32240076535723
1102,2024,53.20141054428364
1102,2025,49.393601172511744
1103,2020,53.328672070785686
1103,2021,51.18172319220846
1103,2022,48.30508326246105
1103,2023,50.519217596135604
1103,2024,47.70612328436625
1103,2025,48.25336422341904
1104,2020,53.98432603400616
1104,2021,54.18438833881227
1104,2022,54.28602970879805
1104,2023,59.05426948697672
1104,2024,44.71603865517424
1104,2025,50.64190563991155
1108,2020,50.32072544429442
1108,2021,44.836688443572804
1108,2022,48.607585333861
1108,2023,48.726609285210635
1108,2024,42.31828530975704
1108,2025,48.5759648335485
1109,2020,55.329389169127445
1109,2021,48.00209316009223
1109,2022,45.84362853970013
1109,2023,50.86569257859433
1109,2024,46.12806451865329
1109,2025,47.18613029173727
1110,2020,59.049917672890544
1110,2021,45.67080876109668
1110,2022,49.67197723551087
1110,2023,55.66926721420097
1110,2024,49.16099726167926
1110,2025,44.61590249021789
1201,2020,48.56573511076912
1201,2021,50.94595423030805
1201,2022,47.734131919495525
1201,2023,48.4724243740046
1201,2024,45.32539458208276
1201,2025,42.79243412691178
1203,2020,58.50906953644078
1203,2021,47.729066453939375
1203,2022,55.981877045158186
1203,2023,65.1748728221499
1203,2024,47.06555856792166
1203,2025,49.39650572657202
1210,2020,53.274490686808704
1210,2021,52.84442796554624
1210,2022,49.67813315661684
1210,2023,52.323516818182426
1210,2024,50.30709277033374
1210,2025,47.95086376331562
1213,2020,50.785056461036675
1213,2021,53.92875819667077
1213,2022,48.34824388830369
1213,2023,49.44735539153149
1213,2024,54.33574513055949
1213,2025,48.379021888474426
1215,2020,54.27682539202868
1215,2021,52.9307443996074
1215,2022,52.07948657841362
1215,2023,51.88365377523006
1215,2024,47.048574051863156
1215,2025,58.78504347835784
1216,2020,48.6208039026519
1216,2021,55.97479881500093
1216,2022,52.70585745004369
1216,2023,55.478153617031175
1216,2024,56.49392970094861
1216,2025,47.813363735641055
1217,2020,44.68004484034648
1217,2021,45.60754628966165
1217,2022,49.24798067712235
1217,2023,47.313534601019064
1217,2024,44.89659525072675
1217,2025,44.58339025428754
1218,2020,53.84954340692556
1218,2021,48.28460377084724
1218,2022,53.13781647993519
1218,2023,40.75738587977928
1218,2024,42.434301791508325
1218,2025,48.588546541238244
1219,2020,49.6680348259539
1219,2021,44.753220386380434
1219,2022,42.26474403497577
1219,2023,45.1449418344369
1219,2024,44.426873856053696
1219,2025,46.84262882095081
1220,2020,61.2661205364983
1220,2021,49.938035367628835
1220,2022,49.358636055777936
1220,2023,42.37858728642036
1220,2024,45.64379981804454
1220,2025,43.783369899770506
1225,2020,51.36809186480222
1225,2021,54.95455358729002
1225,2022,57.704294920826094
1225,2023,47.964169218783674
1225,2024,52.737986062215555
1225,2025,40.94799398023596
1227,2020,47.6570192487094
1227,2021,46.80569644700526
1227,2022,43.61139161060441
1227,2023,46.060375310062916
1227,2024,46.21756950173164
1227,2025,42.41135057255505
1229,2020,55.799351530325325
1229,2021,60.4992309099457
1229,2022,48.50781025284076
1229,2023,58.00169874440098
1229,2024,45.79916728967121
1229,2025,48.20949302436527
1231,2020,61.318367743843254
1231,2021,55.60950885511906
1231,2022,54.06742822508237
1231,2023,56.27071425277134
1231,2024,61.63590521777047
1231,2025,45.62339688073072
1232,2020,59.83162594407631
1232,2021,51.98170438892399
1232,2022,46.11407189339486
1232,2023,48.92924268755989
1232,2024,51.733407931215496
1232,2025,46.20547717743285
1233,2020,53.0604007958246
1233,2021,55.01008844876409
1233,2022,51.73461371238512
1233,2023,49.38923451589837
1233,2024,44.45739318694331
1233,2025,46.72857179950425
1234,2020,54.2019845280396
1234,2021,58.26131545283344
1234,2022,45.52732487022571
1234,2023,56.61998154964832
1234,2024,49.57069160423991
1234,2025,42.29108197717968
1235,2020,50.646439559707545
1235,2021,62.36272809791589
1235,2022,56.97960739288695
1235,2023,54.74236229781683
1235,2024,58.72290342288767
1235,2025,43.04982978431139
1236,2020,53.39923400074994
1236,2021,50.02030581914369
1236,2022,38.39436128176675
1236,2023,49.474428879381705
1236,2024,46.92138704677319
1236,2025,50.974938518406105
1256,2020,53.661272313390626
1256,2021,38.86796075312935
1256,2022,44.71371211464672
1256,2023,41.058216537706954
1256,2024,35.171052657408666
1256,2025,41.307466753432216
1301,2020,54.16620475789696
1301,2021,52.874851303172065
1301,2022,52.45082115018008
1301,2023,49.7873874593005
1301,2024,30.305459519220125
1301,2025,47.102465452258215
1303,2020,56.336440486910675
1303,2021,57.09731229568279
1303,2022,53.70297645601197
1303,2023,50.849938376736525
1303,2024,34.28559072090464
1303,2025,49.20582576268222
1304,2020,52.12314764176691
1304,2021,45.39010540547306
1304,2022,46.29757814083838
1304,2023,45.61540535385233
1304,2024,34.79859608890772
1304,2025,43.41795106288149
1305,2020,51.994785007263296
1305,2021,47.058942117290215
1305,2022,49.02063106123386
1305,2023,41.316633647184624
1305,2024,34.24043947414128
1305,2025,42.5492524948061
1307,2020,45.185777084318616
1307,2021,42.94580664252939
1307,2022,44.756580765631675
1307,2023,49.694155978670196
1307,2024,49.08393574359936
1307,2025,43.519164373350016
1308,2020,51.11055908726959
1308,2021,49.40581632995374
1308,2022,51.203358671608164
1308,2023,45.78501582689389
1308,2024,36.37233555222188
1308,2025,44.250988826402406
1309,2020,54.37066500924423
1309,2021,44.08763318577903
1309,2022,45.01528448412328
1309,2023,43.30923052289177
1309,2024,40.06661925750139
1309,2025,40.96729505237446
1310,2020,47.037098095390576
1310,2021,43.59134045197571
1310,2022,45.14249309897953
1310,2023,45.746504059733226
1310,2024,34.75300076882791
1310,2025,40.74524383874746
1312,2020,50.02937315865583
1312,2021,48.1079923681147
1312,2022,44.714896035264765
1312,2023,43.98975552431462
1312,2024,36.635797447854685
1312,2025,43.63618849078057
1313,2020,52.32473748450301
1313,2021,45.25669913599092
1313,2022,47.35965759387713
1313,2023,47.58323193558985
1313,2024,38.53409261013874
1313,2025,46.50246859233957
1314,2020,49.61668867449957
1314,2021,45.341697378316866
1314,2022,43.88080966258172
1314,2023,38.665063046451564
1314,2024,40.208396825188004
1314,2025,43.34609515064063
1315,2020,45.32693859618937
1315,2021,46.12679246760809
1315,2022,46.944745200095014
1315,2023,53.07052458392005
1315,2024,46.61595042314069
1315,2025,49.93912609757723
1316,2020,45.77194308774504
1316,2021,49.79765206359518
1316,2022,40.88520843390542
1316,2023,46.7996992702181
1316,2024,37.748885229650284
1316,2025,39.525224128740525
1319,2020,48.98255885526161
1319,2021,43.0487084345932
1319,2022,50.657670843448855
1319,2023,50.61988738354362
1319,2024,47.4724222178719
1319,2025,42.30982922485137
1321,2020,46.12184369222781
1321,2021,45.609026488218625
1321,2022,43.01427562886822
1321,2023,50.3335445892679
1321,2024,33.402070977863694
1321,2025,49.3467896441226
1323,2020,64.5514915527008
1323,2021,63.253813457522114
1323,2022,55.49589939761086
1323,2023,54.81462151516611
1323,2024,44.600203680584464
1323,2025,62.91181939504382
1324,2020,53.737999622599766
1324,2021,46.663154068331295
1324,2022,48.6257102636614
1324,2023,55.54407107705441
1324,2024,40.827062251172855
1324,2025,43.40083186846066
1325,2020,48.205663474866505
1325,2021,35.97189059554118
1325,2022,38.94152620450827
1325,2023,39.53045948866856
1325,2024,35.41670054565527
1325,2025,39.976134499038494
1326,2020,50.93820247129641
1326,2021,49.30776334816226
1326,2022,54.467035574009344
1326,2023,47.27318937358326
1326,2024,33.32736582010572
1326,2025,45.57453177498465
1337,2020,42.54384938309706
1337,2021,40.93221615081132
1337,2022,39.38701891736395
1337,2023,37.855797101258105
1337,2024,39.325420437294625
1337,2025,41.24950347154272
1338,2020,48.50929762458676
1338,2021,49.27986444116924
1338,2022,44.28726168330591
1338,2023,44.628466327176824
1338,2024,34.61910521834151
1338,2025,44.235360715344754
1339,2020,43.97601522022056
1339,2021,45.118832098016064
1339,2022,53.07217561682167
1339,2023,48.3555223752354
1339,2024,42.38281602196193
1339,2025,49.19390738199813
1340,2020,42.971786641777555
1340,2021,49.74918493479102
1340,2022,48.464243091737494
1340,2023,47.46634090710786
1340,2024,38.86400775474958
1340,2025,40.796780465575715
1341,2020,51.8405656431864
1341,2021,58.0086026544413
1341,2022,55.00823175389764
1341,2023,45.48941669272193
1341,2024,52.29162374518552
1341,2025,56.75120782290207
1342,2020,41.52930885840236
1342,2021,42.90474871975031
1342,2022,52.56597343635034
1342,2023,40.001023617231105
1342,2024,44.46162271611201
1342,2025,46.90924646917406
1402,2020,56.36760599855964
1402,2021,53.18397083288175
1402,2022,57.1554179358656
1402,2023,54.4053222798681
1402,2024,53.261416757002344
1402,2025,48.38038266340705
1409,2020,48.855623356865266
1409,2021,50.68305096873509
1409,2022,49.83086734213233
1409,2023,47.518057000224566
1409,2024,43.2862827177594
1409,2025,44.73550040150175
1410,2020,58.27176180244349
1410,2021,54.85948384758843
1410,2022,42.24343880071903
1410,2023,38.43760632921409
1410,2024,39.23601120846552
1410,2025,45.184433005970966
1413,2020,47.92562516194981
1413,2021,41.53718228604637
1413,2022,44.24968050101316
1413,2023,50.37609337315484
1413,2024,49.76415628203597
1413,2025,48.53427022491241
1414,2020,50.37707089960513
1414,2021,45.387690935568564
1414,2022,60.134743563978624
1414,2023,59.33002220818733
1414,2024,53.71529002357424
1414,2025,48.01698794744793
1416,2020,46.467683177816056
1416,2021,47.95254571377639
1416,2022,46.00562837364354
1416,2023,50.11725659465778
1416,2024,42.999812895707684
1416,2025,47.25523995915044
1417,2020,43.27414880642551
1417,2021,41.70358845043405
1417,2022,48.42639399551842
1417,2023,37.18355925330843
1417,2024,48.05852423670454
1417,2025,55.86063625568298
1418,2020,58.42707462366395
1418,2021,65.08626739658544
1418,2022,55.919288217785954
1418,2023,52.20518297682944
1418,2024,43.56845812637513
1418,2025,36.69084002577628
