coid,year_q,RSI
1101 台泥,2020Q1,48.74546489650988
1101 台泥,2020Q2,48.40940530381347
1101 台泥,2020Q3,46.05964313351444
1101 台泥,2020Q4,57.22221510856168
1101 台泥,2021Q1,77.90449824013747
1101 台泥,2021Q2,49.21308303871042
1101 台泥,2021Q3,59.756264872098576
1101 台泥,2021Q4,64.63779627109363
1101 台泥,2022Q1,71.71357470521245
1101 台泥,2022Q2,35.87259501802337
1101 台泥,2022Q3,5.930802883068194
1101 台泥,2022Q4,42.29134627493944
1101 台泥,2023Q1,44.135740007372384
1101 台泥,2023Q2,44.09863488870667
1101 台泥,2023Q3,29.233840798254462
1101 台泥,2023Q4,64.02532793566135
1101 台泥,2024Q1,54.66171284779754
1101 台泥,2024Q2,57.729070085318476
1101 台泥,2024Q3,81.879726526593
1101 台泥,2024Q4,24.222698326974808
1101 台泥,2025Q1,34.772758271910604
1101 台泥,2025Q2,32.24826814537749
1101 台泥,2025Q3,58.235964106901086
1101 台泥,2025Q4,58.85664802348466
1102 亞泥,2020Q1,41.63908098420707
1102 亞泥,2020Q2,48.38761575797017
1102 亞泥,2020Q3,47.5401879397848
1102 亞泥,2020Q4,55.303810458016166
1102 亞泥,2021Q1,87.35989852353595
1102 亞泥,2021Q2,51.96145725647674
1102 亞泥,2021Q3,45.740295524032746
1102 亞泥,2021Q4,70.36794189235528
1102 亞泥,2022Q1,70.13366585486438
1102 亞泥,2022Q2,47.735324608858214
1102 亞泥,2022Q3,13.544684711470875
1102 亞泥,2022Q4,46.00730369719468
1102 亞泥,2023Q1,54.69151980590189
1102 亞泥,2023Q2,52.96489868456617
1102 亞泥,2023Q3,41.59298773680987
1102 亞泥,2023Q4,57.66087751022527
1102 亞泥,2024Q1,58.159620156639846
1102 亞泥,2024Q2,56.94744618587549
1102 亞泥,2024Q3,91.65492852297457
1102 亞泥,2024Q4,25.01697421571185
1102 亞泥,2025Q1,73.15235506551218
1102 亞泥,2025Q2,48.7268569095902
1102 亞泥,2025Q3,62.43785542082735
1102 亞泥,2025Q4,49.73236278916397
1103 嘉泥,2020Q1,34.1377400344152
1103 嘉泥,2020Q2,59.30688302975627
1103 嘉泥,2020Q3,28.243697511705008
1103 嘉泥,2020Q4,67.40241457323086
1103 嘉泥,2021Q1,86.23561726030029
1103 嘉泥,2021Q2,52.2819478124836
1103 嘉泥,2021Q3,56.55461488533893
1103 嘉泥,2021Q4,63.41192068880596
1103 嘉泥,2022Q1,56.84026538229209
1103 嘉泥,2022Q2,44.194225855421806
1103 嘉泥,2022Q3,18.102490359223815
1103 嘉泥,2022Q4,40.87780889958618
1103 嘉泥,2023Q1,48.31904573250541
1103 嘉泥,2023Q2,54.42708570012754
1103 嘉泥,2023Q3,41.55922677441908
1103 嘉泥,2023Q4,51.65900182464901
1103 嘉泥,2024Q1,46.5964746986289
1103 嘉泥,2024Q2,50.26507385016274
1103 嘉泥,2024Q3,63.6516705413346
1103 嘉泥,2024Q4,31.70846453236798
1103 嘉泥,2025Q1,34.339754525227995
1103 嘉泥,2025Q2,46.53479616224685
1103 嘉泥,2025Q3,59.24182454051056
1103 嘉泥,2025Q4,52.054221498900496
1104 環泥,2020Q1,44.7439303806618
1104 環泥,2020Q2,56.128927991674914
1104 環泥,2020Q3,38.882119359870906
1104 環泥,2020Q4,54.17622748753894
1104 環泥,2021Q1,74.18024183820025
1104 環泥,2021Q2,55.30497855674075
1104 環泥,2021Q3,50.90400886939905
1104 環泥,2021Q4,57.34169480469454
1104 環泥,2022Q1,53.04982084174726
1104 環泥,2022Q2,57.90601366366559
1104 環泥,2022Q3,15.969306426516926
1104 環泥,2022Q4,44.92474905256824
1104 環泥,2023Q1,69.05370799695379
1104 環泥,2023Q2,60.882226335096355
1104 環泥,2023Q3,21.94870193488
1104 環泥,2023Q4,52.5508009514524
1104 環泥,2024Q1,57.39831661947247
1104 環泥,2024Q2,74.4111652502167
1104 環泥,2024Q3,71.0221549700606
1104 環泥,2024Q4,50.92738070631715
1104 環泥,2025Q1,36.744723682655604
1104 環泥,2025Q2,45.31564116770789
1104 環泥,2025Q3,58.96188214006784
1104 環泥,2025Q4,39.9318671098423
1108 幸福,2020Q1,41.93061748237298
1108 幸福,2020Q2,60.5457443851694
1108 幸福,2020Q3,37.016625003817886
1108 幸福,2020Q4,68.02614625634536
1108 幸福,2021Q1,59.88026106660334
1108 幸福,2021Q2,47.90356682587934
1108 幸福,2021Q3,51.392553059308796
1108 幸福,2021Q4,68.80154483974403
1108 幸福,2022Q1,56.266328014673284
1108 幸福,2022Q2,41.05769848400563
1108 幸福,2022Q3,28.044872158823242
1108 幸福,2022Q4,39.73720297474067
1108 幸福,2023Q1,62.124483651795884
1108 幸福,2023Q2,62.9367728214375
1108 幸福,2023Q3,31.338319016778637
1108 幸福,2023Q4,55.20861611864453
1108 幸福,2024Q1,50.779129292515755
1108 幸福,2024Q2,46.24975607392952
1108 幸福,2024Q3,74.25868190971468
1108 幸福,2024Q4,44.20440764274781
1108 幸福,2025Q1,38.77832224747898
