coid,year_q,RET
1101,2025Q4,1.5317
1102,2025Q4,-4.1238
1103,2025Q4,0.3597
1104,2025Q4,-4.6107
1108,2025Q4,-0.6643
1109,2025Q4,-0.9585
1110,2025Q4,-0.6008
1201,2025Q4,-2.0204
1203,2025Q4,-0.0003
1210,2025Q4,-2.1154
1213,2025Q4,2.9271
1215,2025Q4,-8.042
1216,2025Q4,0.7842
1217,2025Q4,0.0
1218,2025Q4,0.0
1219,2025Q4,-1.1029
1220,2025Q4,-0.7968
1225,2025Q4,-6.4039
1227,2025Q4,-0.9835
1229,2025Q4,-0.7308
1231,2025Q4,-2.3998
1232,2025Q4,-0.6872
1233,2025Q4,0.3127
1234,2025Q4,0.1318
1235,2025Q4,-5.4336
1236,2025Q4,3.0363
1240,2025Q4,2.4015
1256,2025Q4,5.6939
1259,2025Q4,0.1611
1264,2025Q4,-2.7585
1268,2025Q4,0.9491
1294,2025Q4,5.6302
1295,2025Q4,-9.0908
1301,2025Q4,-6.3625
1303,2025Q4,2.0337
1304,2025Q4,1.37
1305,2025Q4,-1.7934
1307,2025Q4,-4.4377
1308,2025Q4,0.3817
1309,2025Q4,-0.0001
1310,2025Q4,-0.6727
1312,2025Q4,5.856
1313,2025Q4,-3.3817
1314,2025Q4,-5.5891
1315,2025Q4,-0.1549
1316,2025Q4,0.99
1319,2025Q4,0.2067
1321,2025Q4,-2.9006
1323,2025Q4,-0.7654
1324,2025Q4,-2.3698
1325,2025Q4,-5.8177
1326,2025Q4,-3.8923
1336,2025Q4,2.2291
1337,2025Q4,-2.6368
1338,2025Q4,0.7333
1339,2025Q4,-4.0436
1340,2025Q4,5.9491
1341,2025Q4,1.5279
1342,2025Q4,3.8416
1402,2025Q4,-1.4184
1409,2025Q4,-7.4075
1410,2025Q4,-0.4354
1413,2025Q4,-1.4777
1414,2025Q4,-0.8521
1416,2025Q4,1.7022
1417,2025Q4,0.1119
1418,2025Q4,-0.75
1419,2025Q4,-5.799
1423,2025Q4,-1.8137
1432,2025Q4,2.2408
1434,2025Q4,0.9525
1435,2025Q4,-10.6996
1436,2025Q4,-1.3678
1437,2025Q4,4.5387
1438,2025Q4,-0.1486
1439,2025Q4,10.1289
1440,2025Q4,-4.3321
1441,2025Q4,-3.7036
1442,2025Q4,-10.8596
1443,2025Q4,-1.268
1444,2025Q4,-0.3312
1445,2025Q4,-6.4516
1446,2025Q4,0.0001
1447,2025Q4,-0.9175
1449,2025Q4,7.2464
1451,2025Q4,-0.2881
1452,2025Q4,-1.6735
1453,2025Q4,0.0001
1454,2025Q4,-3.3334
1455,2025Q4,-0.5201
1456,2025Q4,-2.2222
1457,2025Q4,-1.25
1459,2025Q4,2.1096
1460,2025Q4,7.4074
1463,2025Q4,-3.3853
1464,2025Q4,-2.6433
1465,2025Q4,-1.5749
1466,2025Q4,-2.7398
1467,2025Q4,2.003
1468,2025Q4,1.2658
1470,2025Q4,-0.2188
1471,2025Q4,-1.0147
1472,2025Q4,-4.0348
1473,2025Q4,1.6395
1474,2025Q4,-7.3912
1475,2025Q4,-17.0766
1476,2025Q4,-12.3147
1477,2025Q4,-8.8469
1503,2025Q4,0.89
1504,2025Q4,-4.2189
1506,2025Q4,-0.0001
1512,2025Q4,-2.0833
1513,2025Q4,-0.0001
1514,2025Q4,2.6832
1515,2025Q4,-1.4389
1516,2025Q4,14.7871
1517,2025Q4,-4.7414
1519,2025Q4,9.2855
1521,2025Q4,-3.0612
1522,2025Q4,-5.84
1524,2025Q4,-5.7628
1525,2025Q4,-2.2726
1526,2025Q4,-1.7544
1527,2025Q4,-1.506
1528,2025Q4,60.4729
1529,2025Q4,-2.3377
