,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
RET,1.0,0.031,0.0146,0.032,0.0014,-0.0251,0.0918,0.8777,0.4168,0.7115,-0.0125,0.0044
ROA,0.031,1.0,0.7095,0.9342,0.4388,0.0661,-0.044,0.0401,0.1228,0.041,0.1531,-0.1178
EPS,0.0146,0.7095,1.0,0.6937,0.2641,0.0287,-0.0534,0.0225,0.1029,0.0195,0.2966,-0.0295
ROE,0.032,0.9342,0.6937,1.0,0.4256,0.0678,-0.0695,0.0438,0.1428,0.0464,0.2148,-0.0091
OM,0.0014,0.4388,0.2641,0.4256,1.0,0.14,-0.06,0.016,0.0863,0.0213,0.1793,0.0562
FCF,-0.0251,0.0661,0.0287,0.0678,0.14,1.0,-0.0278,-0.0059,0.0333,0.0033,0.0453,-0.0041
BIAS,0.0918,-0.044,-0.0534,-0.0695,-0.06,-0.0278,1.0,0.1193,-0.0771,0.0411,-0.0539,-0.0488
PPO,0.8777,0.0401,0.0225,0.0438,0.016,-0.0059,0.1193,1.0,0.4818,0.7198,0.0069,0.0018
K,0.4168,0.1228,0.1029,0.1428,0.0863,0.0333,-0.0771,0.4818,1.0,0.4057,0.1286,0.0622
RSI,0.7115,0.041,0.0195,0.0464,0.0213,0.0033,0.0411,0.7198,0.4057,1.0,0.0099,0.0038
SIZE,-0.0125,0.1531,0.2966,0.2148,0.1793,0.0453,-0.0539,0.0069,0.1286,0.0099,1.0,0.346
LEV,0.0044,-0.1178,-0.0295,-0.0091,0.0562,-0.0041,-0.0488,0.0018,0.0622,0.0038,0.346,1.0
