,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
RET,1.0,0.2651,0.2044,0.2805,0.0779,-0.0097,0.1778,0.8797,0.4481,0.2317,0.0131,0.0139
ROA,0.2651,1.0,0.6682,0.9266,0.5707,0.1075,-0.043,0.2848,0.3031,0.0632,0.1786,-0.1433
EPS,0.2044,0.6682,1.0,0.6448,0.3239,0.0608,-0.0362,0.21,0.2517,0.0456,0.3319,-0.0435
ROE,0.2805,0.9266,0.6448,1.0,0.5391,0.1004,-0.0714,0.3032,0.3245,0.0653,0.2428,-0.0231
OM,0.0779,0.5707,0.3239,0.5391,1.0,0.1717,-0.0321,0.1084,0.1714,0.0585,0.2055,0.0652
FCF,-0.0097,0.1075,0.0608,0.1004,0.1717,1.0,0.0002,0.0064,0.035,0.0123,0.0466,0.0211
BIAS,0.1778,-0.043,-0.0362,-0.0714,-0.0321,0.0002,1.0,0.149,-0.0987,0.0175,-0.0025,-0.0658
PPO,0.8797,0.2848,0.21,0.3032,0.1084,0.0064,0.149,1.0,0.5479,0.1889,0.065,0.0185
K,0.4481,0.3031,0.2517,0.3245,0.1714,0.035,-0.0987,0.5479,1.0,0.3118,0.22,0.0738
RSI,0.2317,0.0632,0.0456,0.0653,0.0585,0.0123,0.0175,0.1889,0.3118,1.0,0.0182,0.02
SIZE,0.0131,0.1786,0.3319,0.2428,0.2055,0.0466,-0.0025,0.065,0.22,0.0182,1.0,0.3418
LEV,0.0139,-0.1433,-0.0435,-0.0231,0.0652,0.0211,-0.0658,0.0185,0.0738,0.02,0.3418,1.0
