Variable,類別,季_count,季_mean,季_std,季_min,季_50%,季_max,年_count,年_mean,年_std,年_min,年_50%,年_max
RET,應變數,23359,0.0622,11.0452,-26.9109,-0.551,45.9151,5915,17.2905,48.2742,-50.5589,5.3045,240.3523
EPS,基本面,23359,2.3618,4.5556,-3.58,0.98,28.1868,5915,3.9004,6.8857,-5.1386,2.0,42.2322
ROE,基本面,23359,4.8019,9.3387,-30.6688,3.76,35.8462,5915,7.6812,13.5138,-48.6894,7.7,45.9506
OM,基本面,23359,0.754,40.8349,-330.9502,5.94,44.5826,5915,2.6254,31.6169,-240.659,6.27,42.9918
FCF,基本面,23359,3.4683,80.0411,-473.5911,2.4816,386.6649,5915,-6.7041,82.4486,-589.2755,0.6575,304.3545
BIAS,技術面,23359,-1.5904,48.7222,-87.8844,-3.8378,188.206,5915,-1.3518,42.0637,-82.9354,-4.081,158.7456
PPO,技術面,23359,0.0257,2.4372,-8.5706,-0.019,8.4144,5915,0.1011,0.6927,-1.7089,0.0629,2.213
K,技術面,23359,47.1412,9.4426,26.7966,46.753,71.4735,5915,47.0008,5.6504,34.5163,46.7327,61.3373
RSI,技術面,23359,49.8163,13.7304,18.4384,49.4689,85.1056,5915,51.9952,14.4013,18.4788,51.1661,88.3207
SIZE,控制,23359,16.2078,1.4397,13.4754,16.0321,20.3035,5915,16.2214,1.4456,13.4431,16.0432,20.3181
LEV,控制,23359,44.2603,18.6316,5.5558,44.47,86.78,5915,43.3927,18.7867,5.247,43.53,86.4288
