Variable,類別,count,mean,std,min,25%,50%,75%,max,skew,kurt
RET,應變數,23359,0.0622,11.0452,-26.9109,-5.368,-0.551,4.1182,45.9151,1.0472,3.6397
EPS,基本面,23359,2.3618,4.5556,-3.58,0.1,0.98,2.92,28.1868,3.2353,13.1422
ROE,基本面,23359,4.8019,9.3387,-30.6688,0.58,3.76,8.92,35.8462,-0.0192,3.2164
OM,基本面,23359,0.754,40.8349,-330.9502,0.32,5.94,13.445,44.5826,-6.3244,46.1393
FCF,基本面,23359,3.4683,80.0411,-473.5911,-4.3319,2.4816,16.2195,386.6649,-1.314,18.7146
BIAS,技術面,23359,-1.5904,48.7222,-87.8844,-32.8625,-3.8378,18.6297,188.206,1.1003,2.3559
PPO,技術面,23359,0.0257,2.4372,-8.5706,-0.9733,-0.019,1.0022,8.4144,0.0085,3.1446
K,技術面,23359,47.1412,9.4426,26.7966,40.4303,46.753,53.3558,71.4735,0.2366,-0.2634
RSI,技術面,23359,49.8163,13.7304,18.4384,40.7045,49.4689,58.5899,85.1056,0.1572,-0.1213
SIZE,控制,23359,16.2078,1.4397,13.4754,15.1783,16.0321,16.9894,20.3035,0.6995,0.3245
LEV,控制,23359,44.2603,18.6316,5.5558,30.85,44.47,57.56,86.78,0.0362,-0.5852
