Variable,類別,count,mean,std,min,25%,50%,75%,max,skew,kurt
RET,應變數,5915,17.2905,48.2742,-50.5589,-10.9725,5.3045,31.309,240.3523,2.0781,5.7836
EPS,基本面,5915,3.9004,6.8857,-5.1386,0.35,2.0,5.005,42.2322,3.1111,12.4504
ROE,基本面,5915,7.6812,13.5138,-48.6894,2.02,7.7,14.475,45.9506,-0.7739,3.6777
OM,基本面,5915,2.6254,31.6169,-240.659,0.77,6.27,13.745,42.9918,-5.5007,37.3397
FCF,基本面,5915,-6.7041,82.4486,-589.2755,-8.0322,0.6575,8.0707,304.3545,-3.628,28.0261
BIAS,技術面,5915,-1.3518,42.0637,-82.9354,-25.4285,-4.081,15.4281,158.7456,1.0386,2.3728
PPO,技術面,5915,0.1011,0.6927,-1.7089,-0.2917,0.0629,0.4581,2.213,0.3055,0.8901
K,技術面,5915,47.0008,5.6504,34.5163,43.0746,46.7327,50.76,61.3373,0.1835,-0.2883
RSI,技術面,5915,51.9952,14.4013,18.4788,42.5488,51.1661,61.368,88.3207,0.1657,-0.1678
SIZE,控制,5915,16.2214,1.4456,13.4431,15.1938,16.0432,17.0068,20.3181,0.6882,0.3108
LEV,控制,5915,43.3927,18.7867,5.247,29.585,43.53,56.745,86.4288,0.0605,-0.609
