coid,year,RET
1101,2025,-23.9159
1102,2025,-2.6932
1103,2025,-14.7224
1104,2025,11.286
1108,2025,8.9833
1109,2025,-7.4576
1110,2025,-17.9152
1201,2025,-16.1182
1203,2025,2.4832
1210,2025,3.7309
1213,2025,-30.0524
1215,2025,51.6107
1216,2025,-1.0873
1217,2025,-8.1881
1218,2025,-1.7347
1219,2025,-8.4928
1220,2025,-26.609
1225,2025,-26.2505
1227,2025,-13.9712
1229,2025,1.199
1231,2025,-21.6722
1232,2025,2.7386
1233,2025,9.7678
1234,2025,-3.1458
1235,2025,-26.5359
1236,2025,14.9753
1240,2025,27.5456
1256,2025,18.4675
1259,2025,0.1096
1264,2025,-5.5389
1268,2025,10.6896
1294,2025,-2.7937
1295,2025,50.4431
1301,2025,11.3863
1303,2025,106.2305
1304,2025,5.2137
1305,2025,-7.173
1307,2025,-5.0089
1308,2025,-1.3109
1309,2025,-17.1851
1310,2025,-7.1283
1312,2025,12.4411
1313,2025,14.4023
1314,2025,5.7145
1315,2025,-1.2712
1316,2025,4.6795
1319,2025,-8.7801
1321,2025,8.574
1323,2025,-16.6996
1324,2025,-17.517
1325,2025,4.7109
1326,2025,20.1549
1336,2025,-31.6921
1337,2025,-26.829
1338,2025,-21.5734
1339,2025,-14.2594
1340,2025,-17.802
1341,2025,-4.4485
1342,2025,-6.588
1402,2025,-7.2055
1409,2025,5.749
1410,2025,-1.978
1413,2025,-8.2568
1414,2025,-28.4594
1416,2025,-3.4858
1417,2025,-8.2913
1418,2025,-29.8586
1419,2025,54.5095
1423,2025,5.1834
1432,2025,-12.8877
1434,2025,-9.073
1435,2025,-39.3857
1436,2025,-25.492
1437,2025,7.3197
1438,2025,-38.5738
1439,2025,-6.3455
1440,2025,-3.5096
1441,2025,-27.018
1442,2025,-58.12
1443,2025,-13.0776
1444,2025,-32.0544
1445,2025,-19.2463
1446,2025,-50.5682
1447,2025,-24.158
1449,2025,-48.5145
1451,2025,-6.8577
1452,2025,-20.0955
1453,2025,-13.3001
1454,2025,-10.8958
1455,2025,-21.779
1456,2025,-14.0059
1457,2025,-14.9719
1459,2025,20.9997
1460,2025,-11.3892
1463,2025,-17.2025
1464,2025,-28.0377
1465,2025,-8.6583
1466,2025,21.8891
1467,2025,-31.1113
1468,2025,-9.4344
1470,2025,7.6531
1471,2025,-33.9852
1472,2025,42.9135
1473,2025,-24.6629
1474,2025,-12.4239
1475,2025,-41.301
1476,2025,-21.2532
1477,2025,-5.242
1503,2025,-9.2506
1504,2025,68.1827
1506,2025,-10.3845
1512,2025,7.7355
1513,2025,-0.2472
1514,2025,2.5639
1515,2025,-6.3249
1516,2025,27.9332
1517,2025,-18.6669
1519,2025,51.439
1521,2025,-17.0671
1522,2025,-22.1743
1524,2025,-21.9222
1525,2025,12.4666
1526,2025,-31.7072
1527,2025,-17.457
1528,2025,64.2459
1529,2025,-21.3997
1530,2025,-9.196
1531,2025,-10.6379
1532,2025,-9.3175
1533,2025,-17.6401
1535,2025,-8.2401
1536,2025,-16.0361
1537,2025,-13.0828
1538,2025,-9.9294
1539,2025,-19.3415
1540,2025,-34.7972
1541,2025,-13.1005
1558,2025,-2.032
1560,2025,39.9424
1563,2025,-14.9396
1565,2025,-37.5587
1568,2025,-14.6503
1569,2025,6.5085
1570,2025,16.1988
