coid,year_q,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
1101,2020Q1,-6.5091,1.07,0.55,1.67,20.3,95.37660287037797,21.298974963391554,-2.392696050419094,54.65790375183003,48.74546489650988,19.699497422018588,42.28
1101,2020Q2,0.47,3.45,1.94,5.99,26.29,9.772661016365516,31.25468766741669,-0.0266552686505836,65.90852112105155,48.40940530381347,19.767454586181724,48.9
1101,2020Q3,-3.4968,5.87,3.15,9.95,27.77,11.684617433839112,41.07646701667917,-0.8610155325914576,57.053372408634175,46.05964313351444,19.75411755629754,45.29
1101,2020Q4,0.6994,7.82,4.32,13.1,27.4,-7.249560918589664,47.19275688417442,0.1197616368507788,49.78229109644752,57.22221510856168,19.78039043341649,43.82
1101,2021Q1,11.4286,1.05,0.57,1.68,19.09,-5.567666646156315,59.46998107075252,2.68706959312074,48.05170402541786,77.90449824013747,19.781844246278546,42.16
1101,2021Q2,-1.1627,3.12,1.82,5.11,22.49,-1.9329077637903227,73.80085003035822,0.091714049085497,56.12637563808748,49.21308303871042,19.77601473336594,40.56
1101,2021Q3,5.2631,4.08,2.41,6.91,19.64,16.479985143648598,86.03342976534877,0.6981930844151553,58.88363672153336,59.756264872098576,19.81042075449832,44.96
1101,2021Q4,4.3479,5.17,3.3,9.07,18.48,-64.40658180522749,75.09553912639736,0.4789152090347111,43.10297347418511,64.63779627109363,19.906106517839337,48.91
1101,2022Q1,5.3854,0.29,0.2,0.37,0.9,28.957434841881245,82.06007357405622,1.320287249143465,63.97525680948752,71.71357470521245,19.931045602041287,47.94
1101,2022Q2,-7.2768,0.19,0.16,-0.04,-3.74,-115.16856117045498,44.11228972463302,-2.063430861307775,26.796603291473005,35.87259501802337,19.92979921093413,51.59
1101,2022Q3,-13.995,0.7,0.38,0.69,-1.48,-29.108580538222554,38.978177792064,-3.621929681470447,60.02103243732568,18.438427328374363,19.94398020519532,51.68
1101,2022Q4,-0.7373,1.43,0.74,1.79,1.02,2.542693520335777,38.3531554698382,0.034851882367892,45.77982767545045,42.29134627493944,19.948494113771456,48.29
1101,2023Q1,-7.0243,0.36,0.2,0.42,0.63,20.06909890880828,49.64820172149007,-0.476037016270205,55.608184114912994,44.135740007372384,19.95031405103099,47.99
1101,2023Q2,0.3955,1.43,0.64,2.2,6.55,106.26075194802765,56.43415836279867,-0.0001619362087071,50.50271698847842,44.09863488870667,19.938752317208937,48.56
1101,2023Q3,-4.8641,2.05,0.82,3.11,8.15,-23.90275522156581,38.576377727775984,-1.420932036768101,31.665819745015664,29.233840798254462,19.97443143228658,48.25
1101,2023Q4,-0.2859,2.76,1.06,4.07,9.18,-48.60292330242366,45.27304546590949,0.4429000010823571,51.39968480048564,64.02532793566135,19.96704790448176,45.91
